date,keyword,word_type
2025-02-02,뛰어나다,2
2025-02-02,뛰어넘다,2
2025-02-02,만족,2
2025-02-02,만족하다,2
2025-02-02,많다,2
2025-02-02,못,1
2025-02-02,못 하다,0
2025-02-02,받다,2
2025-02-02,발전,2
2025-02-02,벌,0
2025-02-02,성,1
2025-02-02,성공,2
2025-02-02,순하다,2
2025-02-02,아니다,0
2025-02-02,어렵다,0
2025-02-02,없다,0
2025-02-02,열정,2
2025-02-02,완전하다,2
2025-02-02,운,2
2025-02-02,울다,0
2025-02-02,원하다,1
2025-02-02,위기,0
2025-02-02,자신감,2
2025-02-02,정,2
2025-02-02,중요하다,2
2025-02-02,지다,0
2025-02-02,최고,2
2025-02-02,친구,2
2025-02-02,크다,2
2025-02-02,특별하다,2
2025-02-02,특이하다,2
2025-02-02,피,1
2025-02-02,피해,0
2025-02-02,함께,2
2025-02-02,해,0
2025-02-02,혁신,2
2025-02-02,화,0
2025-02-03,흑자,2
2025-02-03,기록,2
2025-02-03,돌파,2
2025-02-03,투자,2
2025-02-03,하락,0
2025-02-03,급락,0
2025-02-03,약세,0
2025-02-03,불확실,0
2025-02-03,두드러지다,2
2025-02-03,성,1
2025-02-03,운,2
2025-02-03,지다,0
2025-02-03,피,1
2025-02-03,해,0
2025-02-03,화,0
2025-02-03,상위,2
2025-02-03,상승,2
2025-02-03,회복,2
2025-02-03,확대,2
2025-02-03,강세,2
2025-02-03,안정,2
2025-02-03,돌파,2
2025-02-03,전망,2
2025-02-03,투자,2
2025-02-03,반등,2
2025-02-03,유입,2
2025-02-03,실적,2
2025-02-03,금리인하,2
2025-02-03,성공,2
2025-02-03,하락,0
2025-02-03,둔화,0
2025-02-03,하향,0
2025-02-03,불확실,0
2025-02-03,리스크,0
2025-02-03,강세,2
2025-02-03,강하다,2
2025-02-03,개선,2
2025-02-03,긍정,2
2025-02-03,기대,2
2025-02-03,끌다,2
2025-02-03,다투다,0
2025-02-03,성,1
2025-02-03,성공,2
2025-02-03,성공하다,2
2025-02-03,안정,2
2025-02-03,운,2
2025-02-03,정,2
2025-02-03,정상,2
2025-02-03,지다,0
2025-02-03,피,1
2025-02-03,해,0
2025-02-03,화,0
2025-02-03,상승,2
2025-02-03,기록,2
2025-02-03,투자,2
2025-02-03,하락,0
2025-02-03,약세,0
2025-02-03,두드러지다,2
2025-02-03,떨어지다,0
2025-02-03,성,1
2025-02-03,운,2
2025-02-03,지다,0
2025-02-03,크다,2
2025-02-03,피,1
2025-02-03,화,0
2025-02-03,상위,2
2025-02-03,성장,2
2025-02-03,확대,2
2025-02-03,전망,2
2025-02-03,유입,2
2025-02-03,모멘텀,2
2025-02-03,하락,0
2025-02-03,불안,0
2025-02-03,불확실,0
2025-02-03,강하다,2
2025-02-03,높다,2
2025-02-03,높이다,2
2025-02-03,떨어지다,0
2025-02-03,벌,0
2025-02-03,부상,0
2025-02-03,불안,0
2025-02-03,빠르다,2
2025-02-03,성,1
2025-02-03,욕,0
2025-02-03,운,2
2025-02-03,이벤트,2
2025-02-03,정,2
2025-02-03,지다,0
2025-02-03,최악,0
2025-02-03,충격,0
2025-02-03,피,1
2025-02-03,함께,2
2025-02-03,해,0
2025-02-03,화,0
2025-02-03,희다,2
2025-02-03,강세,2
2025-02-03,낙관,2
2025-02-03,기록,2
2025-02-03,투자,2
2025-02-03,하락,0
2025-02-03,급락,0
2025-02-03,약세,0
2025-02-03,위기,0
2025-02-03,강세,2
2025-02-03,높다,2
2025-02-03,떨어지다,0
2025-02-03,성,1
