date,0,1,2
2025-02-04,0.30502498,0.57270294,0.12227204
2025-02-04,0.4175349,0.34806696,0.23439823
2025-02-04,0.5201308,0.22599405,0.2538751
2025-02-04,0.28538594,0.6165913,0.098022856
2025-02-04,0.47908846,0.1333017,0.3876099
2025-02-04,0.40327442,0.28958318,0.30714247
2025-02-04,0.24190916,0.6739919,0.084098876
2025-02-04,0.3256991,0.54244035,0.13186052
2025-02-04,0.20804264,0.6880088,0.103948504
2025-02-04,0.20691286,0.7191125,0.07397457
2025-02-04,0.17826086,0.76335907,0.058380093
2025-02-04,0.4530757,0.21355988,0.33336434
2025-02-04,0.45667878,0.34661826,0.19670302
2025-02-04,0.47711027,0.23824266,0.2846471
2025-02-04,0.48650938,0.12837864,0.38511196
2025-02-04,0.4755673,0.14981446,0.37461823
